1CS-1	ASSESSOR	MARI A. WILSON	81	235
1CS-1	ASSESSOR	WRITE-IN	0	2
1CS-1	ATTORNEY GENERAL	DAVE JONES	10	31
1CS-1	ATTORNEY GENERAL	ERIC EARLY	9	35
1CS-1	ATTORNEY GENERAL	STEVEN C. BAILEY	27	81
1CS-1	ATTORNEY GENERAL	WRITE-IN	0	2
1CS-1	ATTORNEY GENERAL	XAVIER BECERRA	68	164
1CS-1	AUDITOR-CONTROLLER	KAREN PAZ DOMINGUEZ	57	135
1CS-1	AUDITOR-CONTROLLER	MIKE LORIG	43	139
1CS-1	CLERK, RECORDER, REGISTRAR OF VOTERS	KELLY E. SANDERS	88	247
1CS-1	CLERK, RECORDER, REGISTRAR OF VOTERS	WRITE-IN	0	1
1CS-1	CONTROLLER	BETTY T. YEE	83	210
1CS-1	CONTROLLER	KONSTANTINOS RODITIS	27	93
1CS-1	CONTROLLER	MARY LOU FINLEY	5	8
1CS-1	CONTROLLER	WRITE-IN	0	2
1CS-1	DISTRICT ATTORNEY	MAGGIE FLEMING	96	253
1CS-1	DISTRICT ATTORNEY	WRITE-IN	0	5
1CS-1	GOVERNOR	AKINYEMI AGBEDE	0	0
1CS-1	GOVERNOR	ALBERT CAESAR MEZZETTI	0	0
1CS-1	GOVERNOR	AMANDA RENTERIA	0	6
1CS-1	GOVERNOR	ANTONIO VILLARAIGOSA	5	7
1CS-1	GOVERNOR	CHRISTOPHER N. CARLSON	1	1
1CS-1	GOVERNOR	DELAINE EASTIN	13	26
1CS-1	GOVERNOR	DESMOND SILVEIRA	0	0
1CS-1	GOVERNOR	GAVIN NEWSOM	56	135
1CS-1	GOVERNOR	GLORIA ESTELA LA RIVA	1	1
1CS-1	GOVERNOR	"HAKAN ""HAWK"" MIKADO"	0	1
1CS-1	GOVERNOR	J. BRIBIESCA	7	8
1CS-1	GOVERNOR	JEFFREY EDWARD TAYLOR	0	1
1CS-1	GOVERNOR	JOHN CHIANG	2	20
1CS-1	GOVERNOR	JOHN H. COX	28	77
1CS-1	GOVERNOR	JOHNNY WATTENBURG	0	0
1CS-1	GOVERNOR	JOSH JONES	1	2
1CS-1	GOVERNOR	KLEMENT TINAJ	0	2
1CS-1	GOVERNOR	MICHAEL SHELLENBERGER	0	0
1CS-1	GOVERNOR	NICKOLAS WILDSTAR	0	0
1CS-1	GOVERNOR	PETER Y. LIU	0	4
1CS-1	GOVERNOR	ROBERT C. NEWMAN, II	0	1
1CS-1	GOVERNOR	ROBERT DAVIDSON GRIFFIS	0	1
1CS-1	GOVERNOR	SHUBHAM GOEL	0	0
1CS-1	GOVERNOR	THOMAS JEFFERSON CARES	1	1
1CS-1	GOVERNOR	TRAVIS ALLEN	7	38
1CS-1	GOVERNOR	WRITE-IN	0	2
1CS-1	GOVERNOR	YVONNE GIRARD	1	2
1CS-1	GOVERNOR	ZOLTAN ISTVAN	0	0
1CS-1	INSURANCE COMMISSIONER	ASIF MAHMOOD	20	50
1CS-1	INSURANCE COMMISSIONER	NATHALIE HRIZI	6	13
1CS-1	INSURANCE COMMISSIONER	RICARDO LARA	53	131
1CS-1	INSURANCE COMMISSIONER	STEVE POIZNER	26	88
1CS-1	INSURANCE COMMISSIONER	WRITE-IN	0	2
1CS-1	JUDGE OF THE SUPERIOR COURT	LATHE GILL	37	82
1CS-1	JUDGE OF THE SUPERIOR COURT	LAWRENCE KILLORAN	66	203
1CS-1	LIEUTENANT GOVERNOR	CAMERON GHARABIKLOU	2	5
1CS-1	LIEUTENANT GOVERNOR	COLE HARRIS	15	43
1CS-1	LIEUTENANT GOVERNOR	DANNY THOMAS	2	2
1CS-1	LIEUTENANT GOVERNOR	DAVID FENNELL	10	36
1CS-1	LIEUTENANT GOVERNOR	DAVID R. HERNANDEZ	4	13
1CS-1	LIEUTENANT GOVERNOR	ED HERNANDEZ	28	78
1CS-1	LIEUTENANT GOVERNOR	ELENI KOUNALAKIS	24	65
1CS-1	LIEUTENANT GOVERNOR	GAYLE MCLAUGHLIN	14	23
1CS-1	LIEUTENANT GOVERNOR	JEFF BLEICH	10	23
1CS-1	LIEUTENANT GOVERNOR	LYDIA ORTEGA	5	21
1CS-1	LIEUTENANT GOVERNOR	TIM FERREIRA	2	2
1CS-1	LIEUTENANT GOVERNOR	WRITE-IN	0	2
1CS-1	MEMBER OF THE STATE ASSEMBLY	JIM WOOD	77	194
1CS-1	MEMBER OF THE STATE ASSEMBLY	MATT HEATH	36	113
1CS-1	MEMBER OF THE STATE ASSEMBLY	WRITE-IN	0	1
1CS-1	MEMBER STATE BOARD OF EQUILIZATION	BARRY CHANG	4	9
1CS-1	MEMBER STATE BOARD OF EQUILIZATION	CATHLEEN GALGIANI	30	80
1CS-1	MEMBER STATE BOARD OF EQUILIZATION	MALIA COHEN	41	96
1CS-1	MEMBER STATE BOARD OF EQUILIZATION	MARK BURNS	32	110
1CS-1	MEMBER STATE BOARD OF EQUILIZATION	WRITE-IN	0	3
1CS-1	PROPOSITION 68	NO	41	138
1CS-1	PROPOSITION 68	YES	75	181
1CS-1	PROPOSITION 69	NO	19	37
1CS-1	PROPOSITION 69	YES	96	278
1CS-1	PROPOSITION 70	NO	81	216
1CS-1	PROPOSITION 70	YES	30	88
1CS-1	PROPOSITION 71	NO	24	62
1CS-1	PROPOSITION 71	YES	90	246
1CS-1	PROPOSITION 72	NO	10	37
1CS-1	PROPOSITION 72	YES	106	281
1CS-1	SECRETARY OF STATE	ALEX PADILLA	64	169
1CS-1	SECRETARY OF STATE	C.T. WEBER	2	3
1CS-1	SECRETARY OF STATE	ERIK RYDBERG	7	8
1CS-1	SECRETARY OF STATE	GAIL K. LIGHTFOOT	2	6
1CS-1	SECRETARY OF STATE	MARK P. MEUSER	22	79
1CS-1	SECRETARY OF STATE	MICHAEL FEINSTEIN	1	6
1CS-1	SECRETARY OF STATE	RAUL RODRIGUEZ JR	8	20
1CS-1	SECRETARY OF STATE	RUBEN MAJOR	8	19
1CS-1	SECRETARY OF STATE	WRITE-IN	0	2
1CS-1	SHERIFF, CORONER, PUBLIC ADMINISTRATOR	"WILLIAM ""BILLY"" HONSAL"	92	254
1CS-1	SHERIFF, CORONER, PUBLIC ADMINISTRATOR	WRITE-IN	0	3
1CS-1	STATE SENATOR	MIKE MCGUIRE	72	200
1CS-1	STATE SENATOR	"VERONICA ""RONI"" JACOBI"	24	56
1CS-1	STATE SENATOR	WRITE-IN	0	9
1CS-1	SUPERINTENDENT OF PUBLIC INSTRUCTION	LILY (ESPINOZA) PLOSKI	27	54
1CS-1	SUPERINTENDENT OF PUBLIC INSTRUCTION	MARSHALL TUCK	24	62
