file	contest	choice	db	details	barcode
000162.jpg	SUPERINTENDENT OF PUBLIC INSTRUCTION	LILY (ESPINOZA) PLOSKI	1	0	20001080300029	20001080300029
000171.jpg	PROPOSITION 68	YES	0	1	20001080400036	20001080400036
000175.jpg	PROPOSITION 70	YES	0	1	20001080400036	20001080400036
000363.jpg	PROPOSITION 68	NO	0	1	20001080400036	20001080400036
000363.jpg	PROPOSITION 70	YES	0	1	20001080400036	20001080400036
000519.jpg	CLERK, RECORDER, REGISTRAR OF VOTERS	KELLY E. SANDERS	0	1	20001080400036	20001080400036
000519.jpg	DISTRICT ATTORNEY	MAGGIE FLEMING	0	1	20001080400036	20001080400036
000519.jpg	PROPOSITION 68	YES	0	1	20001080400036	20001080400036
000519.jpg	PROPOSITION 69	YES	0	1	20001080400036	20001080400036
000623.jpg	PROPOSITION 68	YES	0	1	20001080400036	20001080400036
000623.jpg	PROPOSITION 70	YES	0	1	20001080400036	20001080400036
000623.jpg	PROPOSITION 71	NO	0	1	20001080400036	20001080400036
000623.jpg	PROPOSITION 72	NO	0	1	20001080400036	20001080400036
000640.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001070100009	10001070100009
000640.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000644.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000648.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000652.jpg	GOVERNOR	GAVIN NEWSOM	0	1	10001070100009	10001070100009
000652.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000656.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000660.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000664.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000668.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001070100009	10001070100009
000668.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000672.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000672.jpg	GOVERNOR	ROBERT C. NEWMAN, II	0	1	10001070100009	10001070100009
000676.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000680.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000684.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000688.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000692.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000696.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000700.jpg	GOVERNOR	JOSH JONES	0	1	10001070100009	10001070100009
000700.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000704.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000708.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000712.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000716.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000720.jpg	GOVERNOR	GAVIN NEWSOM	0	1	10001070100009	10001070100009
000720.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000724.jpg	GOVERNOR	GAVIN NEWSOM	0	1	10001070100009	10001070100009
000724.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000728.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000732.jpg	GOVERNOR	GAVIN NEWSOM	0	1	10001070100009	10001070100009
000732.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000736.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000740.jpg	GOVERNOR	GAVIN NEWSOM	0	1	10001070100009	10001070100009
000740.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000744.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000748.jpg	GOVERNOR	GAVIN NEWSOM	0	1	10001070100009	10001070100009
000748.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000752.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001070100009	10001070100009
000752.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000756.jpg	GOVERNOR	JOSH JONES	1	0	10001070100009	10001070100009
000756.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000759.jpg	PROPOSITION 69	YES	0	1	20001070400015	20001070400015
000760.jpg	GOVERNOR	GAVIN NEWSOM	0	1	10001070100009	10001070100009
000760.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000764.jpg	GOVERNOR	GAVIN NEWSOM	0	1	10001070100009	10001070100009
000764.jpg	GOVERNOR	KLEMENT TINAJ	1	0	10001070100009	10001070100009
000776.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001030100022	10001030100022
000784.jpg	GOVERNOR	JOSH JONES	1	0	10001030100022	10001030100022
000800.jpg	GOVERNOR	WRITEIN	1	0	10001030100022	10001030100022
000836.jpg	GOVERNOR	WRITEIN	1	0	10001030100022	10001030100022
000840.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001030100022	10001030100022
000848.jpg	GOVERNOR	JOSH JONES	1	0	10001030100022	10001030100022
000896.jpg	GOVERNOR	ROBERT C. NEWMAN, II	1	0	10001030100022	10001030100022
000900.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001030100022	10001030100022
000920.jpg	GOVERNOR	WRITEIN	1	0	10001030100022	10001030100022
000928.jpg	GOVERNOR	WRITEIN	1	0	10001030100022	10001030100022
000932.jpg	GOVERNOR	JOSH JONES	1	0	10001030100022	10001030100022
000936.jpg	GOVERNOR	ALBERT CAESAR MEZZETTI	1	0	10001030100022	10001030100022
000972.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001030100022	10001030100022
000989.jpg	ATTORNEY GENERAL	XAVIER BECERRA	0	1	10001030200029	10001030200029
000992.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001030100022	10001030100022
001032.jpg	GOVERNOR	JOSH JONES	1	0	10001030100022	10001030100022
001044.jpg	GOVERNOR	HAKAN "HAWK" MIKADO	1	0	10001030100022	10001030100022
001048.jpg	GOVERNOR	JOSH JONES	1	0	10001030100022	10001030100022
001068.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001030100022	10001030100022
001092.jpg	GOVERNOR	WRITEIN	1	0	10001030100022	10001030100022
001100.jpg	GOVERNOR	HAKAN "HAWK" MIKADO	1	0	10001030100022	10001030100022
001104.jpg	GOVERNOR	HAKAN "HAWK" MIKADO	1	0	10001030100022	10001030100022
001108.jpg	GOVERNOR	ALBERT CAESAR MEZZETTI	1	0	10001030100022	10001030100022
001116.jpg	GOVERNOR	HAKAN "HAWK" MIKADO	1	0	10001030100022	10001030100022
001140.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001030100022	10001030100022
001169.jpg	SECRETARY OF STATE	ALEX PADILLA	0	1	10001020200008	10001020200008
001308.jpg	GOVERNOR	GAVIN NEWSOM	1	0	10001020100098	10001020100098
001619.jpg	PROPOSITION 72	YES	0	1	20001130400044	20001130400044
001691.jpg	TREASURER-TAX COLLECTOR	WRITEIN	0	1	20001130400044	20001130400044
001907.jpg	PROPOSITION 70	NO	0	1	20001130400044	20001130400044
003251.jpg	PROPOSITION 69	NO	0	1	20001160400010	20001160400010
